marker,key,randoxCode,resultType,panels,healthAreas,duplicateGroup,templateFamily,reviewStatus,reviewedBy,chars,flags,whatItIs,highMeans,lowMeans,lifestyleContext
"Haemoglobin","haemoglobin-f","","MEASURED","Signature; Ran Chip Insight 360; Advanced GP3 (Female)","","1","","DRAFT","","356","","The protein in red blood cells that carries oxygen around your body.","Can reflect dehydration, smoking, or conditions that increase red cell production.","Often reflects anaemia: reduced capacity to carry oxygen, which can cause fatigue and breathlessness.","Iron-rich food, staying hydrated, and treating any underlying cause support levels in the usual range."
"Hake (IgG)","hake-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Hake in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Hake.","","",""
"Hazelnut (IgG)","hazelnut-igg","","SENSITIVITY","Signature","Food Sensitivity: Nuts & Seeds","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Hazelnut in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Hazelnut.","","",""
"HbA1c","hba1c","","MEASURED","Ran Chip Insight 360; Advanced GP3 (Male); Advanced GP3 (Female); Nutritional Health HSC15; RP3 Metabolic Syndrome; Core; Insight 360; Signature","Metabolic Syndrome; Diabetes Health","","","DRAFT","","203","","A measure of your average blood sugar over the past 2–3 months.","Higher levels indicate a risk of, or existing, diabetes.","","Diet, weight management, and activity all meaningfully influence this over months."
"Height","height","","MEASURED","Insight 360; Signature","Metabolic Syndrome; Personal Health Measurements","","","DRAFT","","163","","Your standing height, measured at your appointment. It is recorded so it can be used in calculations such as body mass index rather than as a measurement of blood.","","",""
"Herring (IgG)","herring-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Herring in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Herring.","","",""
"High Cholesterol and Cardiovascular Disease Risk","high-cholesterol-and-cardiovascular-disease-risk","","GENETIC","Signature","Health & Wellbeing","","","DRAFT","","232","","Relates to variants, including those in APOE, associated with differences in blood cholesterol and cardiovascular risk across populations. It is a separate thing from measuring cholesterol itself, which is what the lipid results do.","","",""
"Hip Circumference","hip-circumference","","MEASURED","Insight 360; Signature","Personal Health Measurements","","","DRAFT","","165","","The distance around the hips at their widest point, taken with a tape at your appointment. It is recorded mainly so that it can be compared with waist circumference.","","",""
"Homocysteine","homocysteine","","MEASURED","RP10 Heart Health; Core; Insight 360; Signature","Heart Health","","","DRAFT","","206","","An amino acid linked to B-vitamin status and cardiovascular health.","Can reflect B12, B6, or folate deficiency, and is linked to cardiovascular risk.","","Often improves with adequate B-vitamin and folate intake."
"Hops (IgG)","hops-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Hops in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Hops.","","",""
"Horse (IgG)","horse-igg","","SENSITIVITY","Signature","Food Sensitivity: Meat","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Horse in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Horse.","","",""
"Hydrogen Sulphide producing Bacteria","hydrogen-sulphide-producing-bacteria","","COMPOSITION","Signature","Bacterial Composition","","","DRAFT","","190","TEMPLATED","The share of your gut microbiome made up of bacteria that produce hydrogen sulphide. It is a proportion rather than a count, and the research on what different proportions mean is unsettled.","","",""
"Hypertension Risk","hypertension-risk","","GENETIC","Signature","Health & Wellbeing","","","DRAFT","","258","TEMPLATED","Relates to inherited variation in genes involved in regulating blood pressure, such as those of the renin angiotensin system. Each variant contributes very little, and a blood pressure reading measures directly what these can only suggest a tendency towards.","","",""
"IL-6 (Interleukin-6)","il-6","","MEASURED","RP10 Heart Health","","","","DRAFT","","187","","A signalling protein involved in the body’s inflammatory response.","Can reflect acute or chronic inflammation.","","Sleep, stress management, and reducing chronic inflammation sources all help."
"IgE","ige","","MEASURED","Insight 360; Signature","Allergy Evaluation","","","DRAFT","","207","","Immunoglobulin E, the class of antibody involved in immediate allergic reactions. A total IgE measures how much of it is circulating overall, and is read alongside symptoms and any allergen-specific testing.","","",""
"Injury Risk","injury-risk","","GENETIC","Signature","Athletic Performance","","","DRAFT","","218","TEMPLATED","Relates to inherited variation in genes shaping tendons, ligaments and other connective tissue. The associations with injury reported in the research are small, and this is not an assessment of any tissue as it is now.","","",""
"Insulin Like Growth Factor 1 (IGF-1)","igf-1","","MEASURED","Insight 360; Signature","Pituitary & Adrenal","","","DRAFT","","218","","Insulin like growth factor 1, made mainly by the liver in response to growth hormone. Because it is far steadier through the day than growth hormone itself, it is used as an indirect measure of growth hormone activity.","","",""
"Intercellular Cell Adhesion Molecule 1","icam-1","","MEASURED","Insight 360; Signature","Infection & Inflammation","","","DRAFT","","210","","An adhesion molecule on the inner lining of blood vessels that lets white blood cells attach and move into tissue. It is a research marker of inflammation in the vessel wall rather than a routine clinical test.","","",""
"Interleukin 8 (IL-8)","il-8","","MEASURED","Insight 360; Signature","Infection & Inflammation; Stress","","","DRAFT","","174","","Interleukin 8, a signalling protein that draws neutrophils towards a site of inflammation. It is a research marker, and levels move quickly in response to short-lived events.","","",""
"Interleukin-10 (IL-10)","il-10","","MEASURED","Insight 360; Signature","Infection & Inflammation","","","DRAFT","","205","","Interleukin 10, a signalling protein that damps inflammation down. It is a research marker of the balance between the immune system’s activating and calming signals, with no agreed clinical interpretation.","","",""
"Intrinsic Factor Antibodies","intrinsic-factor-antibodies","","MEASURED","Insight 360; Signature","Autoimmune","","","DRAFT","","198","","Antibodies directed at intrinsic factor, the stomach protein that allows vitamin B12 to be absorbed further down the gut. They are measured when the cause of a low vitamin B12 is being investigated.","","",""
"Ketones (urine)","ketones-urine","","MEASURED","Insight 360; Signature","Urinalysis","","","DRAFT","","207","","A urine dipstick reading for ketones, the compounds the body produces when it draws on fat rather than glucose for energy. They appear with fasting, low carbohydrate diets and illness as well as in diabetes.","","",""
"Kiwi (IgG)","kiwi-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Kiwi in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Kiwi.","","",""
"Klebsiella aerogenes","klebsiella-aerogenes","","QUALITATIVE","Signature","UTI","","","DRAFT","","141","","Klebsiella aerogenes, a gut bacterium that is also found in urinary infection. The panel reports whether it was detected in the urine sample.","","",""
"Klebsiella oxytoca","klebsiella-oxytoca","","QUALITATIVE","Signature","UTI","","","DRAFT","","139","","Klebsiella oxytoca, a bacterium of the same family as Klebsiella pneumoniae. The panel reports whether it was detected in the urine sample.","","",""
"Klebsiella pneumoniae","klebsiella-pneumoniae","","QUALITATIVE","Signature","UTI","","","DRAFT","","186","","Klebsiella pneumoniae, a bacterium that can live harmlessly in the gut and is also a recognised cause of urinary infection. The panel reports whether it was detected in the urine sample.","","",""
"L-Selectin","l-selectin","","MEASURED","Insight 360; Signature","Infection & Inflammation","","","DRAFT","","185","","An adhesion molecule carried on white blood cells that helps them leave the bloodstream and enter tissue. It is a research marker of immune activity rather than a routine clinical test.","","",""
